ds,y
2016-11-03,37.79999923706055
2016-11-04,37.79999923706055
2016-11-07,38.71799850463867
2016-11-08,38.757999420166016
2016-11-09,37.375999450683594
2016-11-10,38.209999084472656
2016-11-11,36.847999572753906
2016-11-14,37.599998474121094
2016-11-15,36.555999755859375
2016-11-16,36.529998779296875
2016-11-17,36.698001861572266
2016-11-18,38.130001068115234
2016-11-21,37.007999420166016
2016-11-22,37.167999267578125
2016-11-23,38.12200164794922
2016-11-25,38.72800064086914
2016-11-28,39.09600067138672
2016-11-29,39.11199951171875
2016-11-30,38.20000076293945
2016-12-01,37.650001525878906
2016-12-02,36.57600021362305
2016-12-05,36.50199890136719
2016-12-06,37.104000091552734
2016-12-07,37.22999954223633
2016-12-08,38.40999984741211
2016-12-09,38.17399978637695
2016-12-12,38.560001373291016
2016-12-13,38.63600158691406
2016-12-14,39.74800109863281
2016-12-15,39.68199920654297
2016-12-16,39.61600112915039
2016-12-19,40.49800109863281
2016-12-20,40.61000061035156
2016-12-21,41.689998626708984
2016-12-22,41.64400100708008
2016-12-23,41.599998474121094
2016-12-27,42.97600173950195
2016-12-28,44.305999755859375
2016-12-29,43.71200180053711
2016-12-30,43.2599983215332
2017-01-03,42.97200012207031
2017-01-04,42.95000076293945
2017-01-05,45.284000396728516
2017-01-06,45.38600158691406
2017-01-09,45.79399871826172
2017-01-10,46.400001525878906
2017-01-11,45.81399917602539
2017-01-12,45.8120002746582
2017-01-13,46.0
2017-01-17,47.34000015258789
2017-01-18,47.33000183105469
2017-01-19,49.45000076293945
2017-01-20,49.09199905395508
2017-01-23,49.16999816894531
2017-01-24,50.0
2017-01-25,51.46200180053711
2017-01-26,50.858001708984375
2017-01-27,50.2760009765625
2017-01-30,50.50600051879883
2017-01-31,49.847999572753906
2017-02-01,50.61000061035156
2017-02-02,49.667999267578125
2017-02-03,50.38199996948242
2017-02-06,50.20000076293945
2017-02-07,51.63800048828125
2017-02-08,51.470001220703125
2017-02-09,53.25
2017-02-10,53.95800018310547
2017-02-13,54.14799880981445
2017-02-14,55.805999755859375
2017-02-15,56.0
2017-02-16,55.52000045776367
2017-02-17,53.15999984741211
2017-02-21,55.09000015258789
2017-02-22,56.0620002746582
2017-02-23,52.79999923706055
2017-02-24,50.53200149536133
2017-02-27,49.63399887084961
2017-02-28,48.8380012512207
2017-03-01,50.83599853515625
2017-03-02,49.94200134277344
2017-03-03,50.14799880981445
2017-03-06,49.582000732421875
2017-03-07,50.38399887084961
2017-03-08,49.400001525878906
2017-03-09,49.5260009765625
2017-03-10,49.242000579833984
2017-03-13,48.9640007019043
2017-03-14,49.22200012207031
2017-03-15,51.400001525878906
2017-03-16,52.47999954223633
2017-03-17,52.79999923706055
2017-03-20,52.119998931884766
2017-03-21,52.566001892089844
2017-03-22,50.3120002746582
2017-03-23,51.077999114990234
2017-03-24,51.13999938964844
2017-03-27,52.119998931884766
2017-03-28,55.40399932861328
2017-03-29,55.667999267578125
2017-03-30,55.608001708984375
2017-03-31,55.74599838256836
